name,parent,value
Origin,,
Chinese,Origin,42.2
Korean,Origin,14.8
Asian,Origin,9.0
Vietnamese,Origin,8.5
Filipino,Origin,7.9
Japanese,Origin,6.9
Other,Origin,21.4
